;REN;;;;
;Minimum fineness;Perfect fineness;;;Maximum fineness
;975 or 97.5%;999 or 99.9%;;;9999 or 99.99%
Denomination;Weight in grams;Fill per cent;Fill per 360;Coin Shape;N° in a God’s Block
1/6;0,667;1,94 %;7;Napking Ring;360
1/2;2;3,61 %;13;Napking Ring;280
1;4;4,44 %;16;Disk;220
2;8;5,56 %;20;Disk;150
6;24;10,56 %;38;Disk;60
12;48;13,06 %;47;Disk;30
60;240;40,00 %;144;Bar;6
120;480;49,44 %;178;Bar;3
360;1440;91,67 %;330;Bar;1
;;;;;
;TEN;;;;
;Minimum fineness;Perfect fineness;;;Maximum fineness
;955 or 95.5%;996 or 99.6%;;;9999 or 99.99%
Denomination;Weight in grams;Fill per cent;Fill per 360;Coin Shape;N° in a God’s Block
1/6;0,5;49,17 %;177;Disk;360
1/2;1,5;60,83 %;219;Disk;280
1;3;50,28 %;181;Napking Ring;220
2;6;41,67 %;150;Napking Ring;150
6;18;51,94 %;187;Disk;60
12;36;43,06 %;155;Disk;30
60;180;89,17 %;321;Bar;6
120;360;73,89 %;266;Bar;3
360;1080;91,67 %;330;Bar;1
;;;;;
;SEN;;;;
;Minimum fineness;Perfect fineness;;;Maximum fineness
;940 or 94%;990 or 99%;;;9999 or 99.99%
Denomination;Weight in grams;Fill per cent;Fill per 360;Coin Shape;N° in a God’s Block
1/6;0,333;91,67 %;330;Disk;360
1/2;1;91,67 %;330;Disk;280
1;2;91,67 %;330;Disk;220
2;4;91,67 %;330;Disk;150
6;12;91,67 %;330;Napking Ring;60
12;24;91,67 %;330;Napking Ring;30
60;120;91,67 %;330;Bar;6
120;240;91,67 %;330;Bar;3
360;720;91,67 %;330;Bar;1
